model_name,aug_name,train_strategy,pretrained,best_epoch,valid_loss,valid_accuracy,valid_macro_f1,checkpoint_file,history_file,validation_prediction_file,summary_file,rank
resnet18,none,holdout,False,18,0.11866295865191023,0.9685807150595883,0.9652077966520463,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/none/checkpoints/best_model.pt,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/none/training_history.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/none/validation_predictions.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/none/validation_summary.csv,1
cnn,none,holdout,False,8,0.24662955868928688,0.9176598049837487,0.9119904150683515,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/cnn/none/checkpoints/best_model.pt,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/cnn/none/training_history.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/cnn/none/validation_predictions.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/cnn/none/validation_summary.csv,2
