model_name,aug_name,train_strategy,pretrained,best_epoch,valid_loss,valid_accuracy,valid_macro_f1,checkpoint_file,history_file,validation_prediction_file,rank
resnet18,spectral_safe,holdout,False,19,0.07407069972888813,0.9761646803900325,0.9714596480443722,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/checkpoints/best_model.pt,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/training_history.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/validation_predictions.csv,1
resnet18,none,holdout,False,18,0.11866295865191023,0.9685807150595883,0.9652077966520463,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/none/checkpoints/best_model.pt,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/none/training_history.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/none/validation_predictions.csv,2
resnet18,light,holdout,False,17,0.10244841823194939,0.9685807150595883,0.9643952655768204,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/light/checkpoints/best_model.pt,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/light/training_history.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/light/validation_predictions.csv,3
