fold_id,train_samples,valid_samples,best_epoch,valid_loss,valid_accuracy,valid_macro_f1,checkpoint_file,history_file,validation_prediction_file,validation_summary_file
1,7381,1846,20,0.09112571548410205,0.9777898158179849,0.9736225229692895,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_1/checkpoints/best_model.pt,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_1/training_history.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_1/validation_predictions.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_1/validation_summary.csv
2,7381,1846,18,0.1262416040619688,0.9647887323943662,0.9600036140141635,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_2/checkpoints/best_model.pt,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_2/training_history.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_2/validation_predictions.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_2/validation_summary.csv
3,7382,1845,19,0.13974324855297238,0.9636856368563685,0.9617788255529968,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_3/checkpoints/best_model.pt,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_3/training_history.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_3/validation_predictions.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_3/validation_summary.csv
4,7382,1845,20,0.11401131056188568,0.9718157181571816,0.9678622997428039,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_4/checkpoints/best_model.pt,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_4/training_history.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_4/validation_predictions.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_4/validation_summary.csv
5,7382,1845,17,0.10509131641649619,0.9685636856368564,0.9614880031334078,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_5/checkpoints/best_model.pt,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_5/training_history.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_5/validation_predictions.csv,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/experiments/resnet18/spectral_safe/kfold/folds/fold_5/validation_summary.csv
